Size,Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,NB_Acc,NB_Precision,NB_Recall,NB_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F
5500,4950.0,550.0,0.5945454545454546,0.5945454545454546,0.5945454545454546,0.5945454545454546,0.31636363636363635,0.31636363636363635,0.31636363636363635,0.31636363636363635,0.4218181818181818,0.4218181818181818,0.4218181818181818,0.4218181818181818
11000,9900.0,1100.0,0.5745454545454546,0.5745454545454546,0.5745454545454546,0.5745454545454546,0.27,0.27,0.27,0.27,0.5018181818181818,0.5018181818181818,0.5018181818181818,0.5018181818181818
16500,14850.0,1650.0,0.6006060606060606,0.6006060606060606,0.6006060606060606,0.6006060606060606,0.28606060606060607,0.28606060606060607,0.28606060606060607,0.28606060606060607,0.4442424242424242,0.4442424242424242,0.4442424242424242,0.4442424242424242
22000,19800.0,2200.0,0.600909090909091,0.600909090909091,0.600909090909091,0.600909090909091,0.29863636363636364,0.29863636363636364,0.29863636363636364,0.29863636363636364,0.24636363636363637,0.24636363636363637,0.24636363636363637,0.24636363636363637
27500,24750.0,2750.0,0.6036363636363636,0.6036363636363636,0.6036363636363636,0.6036363636363636,0.27236363636363636,0.27236363636363636,0.27236363636363636,0.27236363636363636,0.2883636363636364,0.2883636363636364,0.2883636363636364,0.2883636363636364
33000,29700.0,3300.0,0.5936363636363636,0.5936363636363636,0.5936363636363636,0.5936363636363636,0.2684848484848485,0.2684848484848485,0.2684848484848485,0.2684848484848485,0.4775757575757576,0.4775757575757576,0.4775757575757576,0.4775757575757576
38500,34650.0,3850.0,0.5992207792207792,0.5992207792207792,0.5992207792207792,0.5992207792207792,0.2677922077922078,0.2677922077922078,0.2677922077922078,0.2677922077922078,0.5337662337662338,0.5337662337662338,0.5337662337662338,0.5337662337662338
44000,39600.0,4400.0,0.5963636363636363,0.5963636363636363,0.5963636363636363,0.5963636363636363,0.26636363636363636,0.26636363636363636,0.26636363636363636,0.26636363636363636,0.3725,0.3725,0.3725,0.3725
49500,44550.0,4950.0,0.5977777777777777,0.5977777777777777,0.5977777777777777,0.5977777777777777,0.27090909090909093,0.27090909090909093,0.27090909090909093,0.27090909090909093,0.47454545454545455,0.47454545454545455,0.47454545454545455,0.47454545454545455

