Size,Train,Test,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F
5500,4950.0,550.0,0.5127272725105285,0.5127272727272727,0.5127272727272727,0.5127272727272727
11000,9900.0,1100.0,0.7727272729440169,0.7727272727272727,0.7727272727272727,0.7727272727272727
16500,14850.0,1650.0,0.7515151517318956,0.7515151515151515,0.7515151515151515,0.7515151515151516
22000,19800.0,2200.0,0.846818182034926,0.8468181818181818,0.8468181818181818,0.8468181818181818
27500,24750.0,2750.0,0.8650909091776068,0.8650909090909091,0.8650909090909091,0.8650909090909091
33000,29700.0,3300.0,0.88,0.88,0.88,0.88
38500,34650.0,3850.0,0.8922077921458653,0.8922077922077922,0.8922077922077922,0.8922077922077922
44000,39600.0,4400.0,0.9040909090909091,0.9040909090909091,0.9040909090909091,0.9040909090909091
49500,44550.0,4950.0,0.9006060605338125,0.9006060606060606,0.9006060606060606,0.9006060606060606

