Size,Train,Test,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F
55000,49500.0,5500.0,0.7645454546321522,0.7250909090909091,0.7920556107249255,0.7570953962980541

110000,99000.0,11000.0,0.8187272727272727,0.7970909090909091,0.8382409177820268,0.8171481826654241

165000,148500.0,16500.0,0.8465454545454546,0.8197575757575758,0.8682200397971629,0.843293120109729

220000,198000.0,22000.0,0.8596818181818182,0.8428181818181818,0.8773540266868554,0.859739416701442

275000,247500.0,27500.0,0.8614545454545455,0.8411636363636363,0.8781747086291333,0.8592708159209524

330000,297000.0,33000.0,0.8743939393939394,0.8565454545454545,0.8885046993367491,0.8722324225078302

385000,346500.0,38500.0,0.8740779220779221,0.856025974025974,0.8928532726484613,0.8740518750331513

440000,396000.0,44000.0,0.8814090909090909,0.8691818181818182,0.8941781622632686,0.8815028235565288

495000,445500.0,49500.0,0.8833737373833704,0.8686464646464647,0.8974369677742527,0.8828070463597913

550000,495000.0,55000.0,0.8849454545367847,0.8698181818181818,0.8991974136796798,0.8842638374167074

605000,544500.0,60500.0,0.8834214876072466,0.865900826446281,0.9001821431026187,0.8827087686189931

660000,594000.0,66000.0,0.8902727272727273,0.874439393939394,0.9055576476495324,0.8897265131193538

715000,643500.0,71500.0,0.8893146853113508,0.877986013986014,0.9010348638601426,0.8893611294104312

