Size,Train,Test,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
5500,4950.0,550.0,0.4636363637447357,0.4636363636363636,0.4636363636363636,0.4636363636363636
11000,9900.0,1100.0,0.47090909080071885,0.4709090909090909,0.4709090909090909,0.4709090909090909
16500,14850.0,1650.0,0.45515151544050736,0.009696969696969697,0.5714285714285714,0.019070321811680575
22000,19800.0,2200.0,0.4527272729440169,0.012272727272727272,0.4426229508196721,0.023883237505528527
27500,24750.0,2750.0,0.4629090909307653,0.012727272727272728,0.5147058823529411,0.0248403122782115
33000,29700.0,3300.0,0.4706060606060606,0.0012121212121212121,0.8,0.0024205748865355524
38500,34650.0,3850.0,0.4677922077999487,0.15662337662337664,0.5946745562130178,0.24794407894736842
44000,39600.0,4400.0,0.4890909090909091,0.19204545454545455,0.6105491329479769,0.2921853388658368
49500,44550.0,4950.0,0.4595959596561663,0.28484848484848485,0.5831265508684863,0.3827361563517916

