Size,Train,Test,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F
5500,4950.0,550.0,0.5272727274894714,0.5272727272727272,0.5272727272727272,0.5272727272727272
11000,9900.0,1100.0,0.4936363638531078,0.49363636363636365,0.49363636363636365,0.49363636363636365
16500,14850.0,1650.0,0.5254545454906695,0.5254545454545455,0.5254545454545455,0.5254545454545455
22000,19800.0,2200.0,0.4690909090909091,0.4690909090909091,0.4690909090909091,0.4690909090909091
27500,24750.0,2750.0,0.54618181848526,0.5461818181818182,0.5461818181818182,0.5461818181818182
33000,29700.0,3300.0,0.5136363636363637,0.5136363636363637,0.5136363636363637,0.5136363636363637
38500,34650.0,3850.0,0.5135064935064935,0.5135064935064935,0.5135064935064935,0.5135064935064935
44000,39600.0,4400.0,0.5179545454545454,0.5179545454545454,0.5179545454545454,0.5179545454545454
49500,44550.0,4950.0,0.5220202019961193,0.522020202020202,0.522020202020202,0.522020202020202

